Frage,id,Gekürzter Tipp (immer sichtbar),Aktive Frage,Tipp,Erklärung,Kriterium,Typ des Inhalts,Kommentar,∂,"Tag wenn gelb, orange, rot"
Bilder und Videos im Artikel stellen das beschriebene Geschehen tatsächlich und objektiv dar. (falls vorhanden),media_objectivity,"Achte darauf, ob sie die Szene überdramatisieren oder aus einem anderen Kontext stammen. Nutze eine Reverse Image Search (z.B. TinEye)",TRUE,"Nutze die umgekehrte Bildersuche bzw. Reverse Image Search wie z.B. TinEye, um zu sehen, ob die Fotos authentisch sind und nicht aus anderen Kontexten stammen. Werden z.B für eine Demonstration in Berlin Bilder einer anderen, größeren Demonstration in einem anderen Land gezeigt? Wenn es sich um KI-Fotos handelt, visualisieren sie den Artikel neutral oder dramatisieren sie ihn?","Um Behauptungen vertrauenswürdiger erscheinen zu lassen, werden manchmal veraltete oder aus einem anderen Kontext stammende Fotos, Bilder oder Videos gezeigt oder durch KI generiert.",Bilder/Videos,"Neutral, Textnachricht, Meinung",,Objektivität der Bilder und Videos,Mangelnde Objektivität der Bilder und Videos
Die Bilder/Videos sind nicht offensichtlich manipuliert oder bearbeitet.,media_no_ai_or_staging_doubts,"Achte z. B. auf Musik, viele Schnitte, Effekte, Filter oder schwammige Umrisse",TRUE,,,Bilder/Videos,"Neutral, Textnachricht, Meinung","Es sei den, es dient der Anschauung des Themas, etwa bei Meinungen.",Manipulierte Bilder/Videos,Bilder/Videos nicht manipuliert
Visualisierungen (Grafiken o.Ä.) werden korrekt dargestellt und sind nicht verzerrt.,media_visualizations_not_distorted,"Achte darauf, ob Achsen verzerrt oder Daten weggelassen werden.",TRUE,Achte bei Diagrammen zum Beispiel auf die Skalen an den Achsen oder darauf ob die Daten zum Zeitraum passen.,,Bilder/Videos,"Neutral, Textnachricht, Meinung","Grafiken hab ich mal zu den Bildern und Videos einsortiert. Beschreibt die folgenden, in grau hinterlegten Farben.Entweder als Extra-Auswahl oder weglassen. ",Einsatz von Visualisierungen,Mangelhafte Visualisierungen
"Es gibt keine weiteren Punkte, die die Vertrauenswürdigkeit des Kriteriums Bilder & Videos negativ beeinflussen. ",media_addtional_points,"Achte darauf, ob KI missbräuchlich/verdeckt zum Einsatz kommt.",TRUE,Zum Beispiel missbräuchlicher Einsatz von KI,,Bilder/Videos,"Meinung, Neutral, Textnachricht",,Bilder/Videos: Sonstiges,Bilder/Videos: Sonstiges
Im Artikel werden unterschiedliche Positionen dargestellt.,content_accuracy,"Achte darauf, ob im Text verschiedene Sichtweisen und Kontroversen benannt werden.",TRUE,Schau dir die im Text genannten Argumente an. Werden verschiedene Sichtweisen vorgestellt?,Professionell erstellte Artikel betrachten eine Situation häufig aus unterschiedlichen Perspektiven. Dies erhöht die Vertrauenswürdigkeit.,Inhalt,Neutral,,Darstellung unterschiedlicher Positionen,Mangelnde Darstellung unterschiedlicher Positionen
Die Grammatik und Rechtschreibung sind fehlerfrei. ,content_language,-,TRUE,,"Um Informationen schnell in Umlauf zu bringen, werden Artikel manchmal maschinell in andere Sprachen übersetzt. Fehlerhafte Grammatik oder unübliche Satzstellungen können hierfür ein Indiz sein.",Inhalt,"Neutral, Meinung, Textnachricht",,Grammatik und Rechtschreibung,Fehlerhafte Grammatik und Rechtschreibung
"Der Artikel ist objektiv geschrieben und frei von Hetze, Generalisierungen, Panikmache oder Ähnlichem.",content_objective_no_hate_no_panic,"Achte auf Superlative, Verallgemeinerungen („immer“), Meinungen („ich finde“) oder Emotionen, die bei dir ausgelöst werden.",TRUE,"Überprüfe, ob ein gefühlsbetonter Schreibstil vorliegt. Werden Meinungen oder Gefühle zum Ausdruck gebracht? Fließen politische, emotionale oder geschmackliche Wertungen ein? Als Indiz hierfür gelten Superlative (z.B. ","Sehr subjektive, emotional aufgeladene und eventuell herabwürdigende Sprache ist ein Indiz dafür, dass es sich um eine wenig reflektierte persönliche Darstellung handelt. Dies mindert die Vertrauenswürdigkeit der Aussagen.",Inhalt,"Neutral, Textnachricht, Meinung",,Objektivität des Beitrags,Mangelnde Objekivität
Die Überschrift passt zum Inhalt des Artikels. ,content_headline_matches_article,"Achte darauf, ob die Überschrift den Inhalt fair zusammenfasst.",TRUE,,"Passt der Inhalt des Artikels nicht zur Überschrift, handelt es sich vielleicht um sogenanntes Clickbaiting: reißerische Überschriften erzeugen mehr Klicks und erhöhen dadurch die Werbeeinnahmen.",Inhalt,"Neutral, Textnachricht, Meinung",,Passende Überschrift,Clickbait
Die im Beitrag aufgeführten Behauptungen wurden bislang nicht durch Fact-Checking widerlegt.,content_claims_not_debunked,,TRUE,,,Inhalt,"Neutral, Textnachricht, Meinung",,Factchecking des Beitrags,Factchecking des Beitrags
"Es gibt keine weiteren Punkte, die die Vertrauenswürdigkeit des Kriteriums Inhalt negativ beeinflussen. ",content_addtional_points,Achte auf rhetorische Manipulationstechniken (im Help Center verlinkt) oder bewusst ausgelassene Informationen,TRUE,"Zum Beispiel logische Fehlschlüsse, rhetorische Manipulationstechniken oder bewusst ausgelassene Informationen",,Inhalt,"Neutral, Meinung, Textnachricht",,Inhalt: Sonstiges,Inhalt: Sonstiges
