Frage,Gekürzter Tipp (immer sichtbar),Aktive Frage,Tipp,Erklärung,Kriterium,Typ des Inhalts,Kommentar,Tag wenn grün,"Tag wenn gelb, orange, rot"
Bilder und Videos im Artikel stellen das beschriebene Geschehen tatsächlich und objektiv dar. (falls vorhanden),"Achte darauf, ob sie die Szene überdramatisieren oder aus einem anderen Kontext stammen. Nutze eine Reverse Image Search (z.B. TinEye)",TRUE,"Nutze die umgekehrte Bildersuche bzw. Reverse Image Search wie z.B. TinEye, um zu sehen, ob die Fotos authentisch sind und nicht aus anderen Kontexten stammen. Werden z.B für eine Demonstration in Berlin Bilder einer anderen, größeren Demonstration in einem anderen Land gezeigt? Wenn es sich um KI-Fotos handelt, visualisieren sie den Artikel neutral oder dramatisieren sie ihn?","Um Behauptungen vertrauenswürdiger erscheinen zu lassen, werden manchmal veraltete oder aus einem anderen Kontext stammende Fotos, Bilder oder Videos gezeigt oder durch KI generiert.",Bilder/Videos,"Neutral, Textnachricht, Meinung",,Objektivität der Bilder und Videos,Mangelnde Objektivität der Bilder und Videos
"Es bestehen keine Zweifel daran, dass Bilder und Videos, etwa durch den Einsatz von KI, Cropping, Effekten, Zusammenschnitten, manipuliert und künstlich dramatisiert wurden.",,FALSE,,,Bilder/Videos,"Neutral, Textnachricht, Meinung",,Darstellung von Bilder und Videos,
Diee Bilder/Videos sind nicht offensichtlich manipuliert oder bearbeitet.,"Achte z. B. auf Musik, viele Schnitte, Effekte, Filter oder schwammige Umrisse",TRUE,,,Bilder/Videos,"Neutral, Textnachricht, Meinung","Es sei den, es dient der Anschauung des Themas, etwa bei Meinungen.",,
Visualisierungen (Grafiken o.Ä.) werden korrekt dargestellt und sind nicht verzerrt.,"Achte darauf, ob Achsen verzerrt oder Daten weggelassen werden.",TRUE,Achte bei Diagrammen zum Beispiel auf die Skalen an den Achsen oder darauf ob die Daten zum Zeitraum passen.,,Bilder/Videos,"Neutral, Textnachricht, Meinung","Grafiken hab ich mal zu den Bildern und Videos einsortiert. Beschreibt die folgenden, in grau hinterlegten Farben.Entweder als Extra-Auswahl oder weglassen. ",Einsatz von Visualisierungen,Mangelhafte Visualisierungen
Die Daten der Visualisierung werden angegeben und sind nachvollziehbar. Die Daten passen zum Zeitraum. ,,FALSE,,,Bilder/Videos,"Neutral, Textnachricht, Meinung",Nur relevant wenn Visualisierung vorhanden. ,Daten der Visualisierungen,
"Es gibt keine weiteren Punkte, die die Vertrauenswürdigkeit des Kriteriums Bilder & Videos negativ beeinflussen. ","Achte darauf, ob KI missbräuchlich/verdeckt zum Einsatz kommt.",TRUE,Zum Beispiel missbräuchlicher Einsatz von KI,,Bilder/Videos,"Meinung, Neutral, Textnachricht",,,
Im Artikel werden unterschiedliche Positionen dargestellt.,"Achte darauf, ob im Text verschiedene Sichtweisen und Kontroversen benannt werden.",TRUE,Schau dir die im Text genannten Argumente an. Werden verschiedene Sichtweisen vorgestellt?,Professionell erstellte Artikel betrachten eine Situation häufig aus unterschiedlichen Perspektiven. Dies erhöht die Vertrauenswürdigkeit.,Inhalt,Neutral,,Darstellung unterschiedlicher Positionen,Mangelnde Darstellung unterschiedlicher Positionen
Die Grammatik und Rechtschreibung sind fehlerfrei. ,-,TRUE,,"Um Informationen schnell in Umlauf zu bringen, werden Artikel manchmal maschinell in andere Sprachen übersetzt. Fehlerhafte Grammatik oder unübliche Satzstellungen können hierfür ein Indiz sein.",Inhalt,"Neutral, Meinung, Textnachricht",,Grammatik und Rechtschreibung,Fehlerhafte Grammatik und Rechtschreibung
"Es wird angegeben, wenn Informationen unsicher, vorläufig oder umstritten sind.",,FALSE,,,Inhalt,"Neutral, Meinung, Textnachricht",,Aussagekraft der Informationen,
"Es werden keine entscheidenden und relevanten Informationen ausgelassen, die das Gesamtbild verändern würden.",,FALSE,,,Inhalt,"Neutral, Meinung, Textnachricht",,Darstellung des Gesamtbildes,
Der Artikel enthält keine offensichtliche logische Fehlschlüsse oder argumentative Sprünge.,,FALSE,,,Inhalt,"Neutral, Meinung, Textnachricht",,Logische Argumentation,
"Der Artikel ist frei von Sponsoring, Advertorial-Charakter und vebirgt keine versteckte Werbeabsicht.",,FALSE,,,Inhalt,"Neutral, Meinung, Textnachricht",,Werbefreier Beitrag,
"Der Artikel beinhaltet keine offensichtlichen rhetorischen Manipulationstechniken, um die Wahrnehmung bewusst zu beeinflussen.",,FALSE,,,Inhalt,"Neutral, Meinung, Textnachricht",,Rhetorische Manipulationstechniken,
"Der Artikel ist objektiv geschrieben und frei von Hetze, Generalisierungen, Panikmache oder Ähnlichem.","Achte auf Superlative, Verallgemeinerungen („immer“), Meinungen („ich finde“) oder Emotionen, die bei dir ausgelöst werden.",TRUE,"Überprüfe, ob ein gefühlsbetonter Schreibstil vorliegt. Werden Meinungen oder Gefühle zum Ausdruck gebracht? Fließen politische, emotionale oder geschmackliche Wertungen ein? Als Indiz hierfür gelten Superlative (z.B. ""die schlimmste Folge""), subjektive Äußerungen (z.B. ""Ich finde, dass..."") oder eine beleidigende bzw. extrem bewundernde Ausdrucksweise.","Sehr subjektive, emotional aufgeladene und eventuell herabwürdigende Sprache ist ein Indiz dafür, dass es sich um eine wenig reflektierte persönliche Darstellung handelt. Dies mindert die Vertrauenswürdigkeit der Aussagen.",Inhalt,"Neutral, Textnachricht, Meinung",,Objektivität des Beitrags,Mangelnde Objekivität
Die Überschrift passt zum Inhalt des Artikels. ,"Achte darauf, ob die Überschrift den Inhalt fair zusammenfasst.",TRUE,,"Passt der Inhalt des Artikels nicht zur Überschrift, handelt es sich vielleicht um sogenanntes Clickbaiting: reißerische Überschriften erzeugen mehr Klicks und erhöhen dadurch die Werbeeinnahmen.",Inhalt,"Neutral, Textnachricht, Meinung",,Passende Überschrift,Clickbait
Die im Beitrag aufgeführten Behauptungen wurden bislang nicht durch Fact-Checking widerlegt.,,TRUE,,,Inhalt,"Neutral, Textnachricht, Meinung",,Factchecking des Beitrags,
"Es gibt keine weiteren Punkte, die die Vertrauenswürdigkeit des Kriteriums Inhalt negativ beeinflussen. ",Achte auf rhetorische Manipulationstechniken (im Help Center verlinkt) oder bewusst ausgelassene Informationen,TRUE,"Zum Beispiel logische Fehlschlüsse, rhetorische Manipulationstechniken oder bewusst ausgelassene Informationen",,Inhalt,"Neutral, Meinung, Textnachricht",,,
"Das Medium wirkt unabhängig. Es gibt keine Hinweise, dass finanzielle oder politische Interessen den Inhalt beeinflussen.
","Wem gehört das Medium, wer finanziert es? Nutze eine Online-Suche oder das Impressum.",TRUE,"Achte auf die Besitzer*innen und Geldgeber*innen des Mediums, in dem der Artikel erschienen ist. Gibt es einen Verdacht auf staatliche Einflüsse, politische, wirtschaftliche oder ideologische Interessen? RT (früher Russia Today) ist z.B. nachweislich vom russischen Staat finanziert und verbreitet offiziell die Sichtweise der russischen Regierung auf das Weltgeschehen. Oft sind diese Informationen unter ""Impressum"", ""Über Uns"" oder ""Kontakt"" zu finden, außerdem über Suchmaschinen schnell im Netz.","Medien, die durch staatliche Gremien oder eine korrupte Gruppierung inhaltlich kontrolliert werden, sind nicht unabhängig und berichten oft nicht neutral.",Medium,"Meinung, Neutral",Correctiv wird z.B. von Bundeszentrale für politische Bildung unterstützt...  ,Finanzielle und politische Unabhängigkeit,Finanzielle oder politische Färbung
